method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
oracle,0.0,10,10,50,42,27,0.6666666666666666,0.4,0.096,0.26023809523809527,nan
oracle,0.0,10,10,50,42,28,1.1538461538461537,0.42000000000000004,0.26399999999999996,0.09692307692307692,nan
oracle,0.0,10,10,50,42,29,0.6875,0.284,0.24,0.14023809523809522,nan
cold_genie,0.0,10,10,50,42,0,0.7777777777777778,0.396,0.096,0.2027136752136752,0.05
cold_genie,0.0,10,10,50,42,1,0.9166666666666666,0.288,0.192,0.19073593073593073,0.05
cold_genie,0.0,10,10,50,42,2,0.9230769230769231,0.376,0.144,0.18868686868686868,0.05
cold_genie,0.0,10,10,50,42,3,0.7857142857142857,0.33599999999999997,0.12,0.2532317682317683,0.05
cold_genie,0.0,10,10,50,42,4,0.6923076923076923,0.332,0.192,0.19303030303030302,0.05
cold_genie,0.0,10,10,50,42,5,1.2142857142857142,0.41200000000000003,0.144,0.17362637362637362,0.05
cold_genie,0.0,10,10,50,42,6,1.0,0.44000000000000006,0.144,0.16713286713286715,0.05
cold_genie,0.0,10,10,50,42,7,0.6666666666666666,0.376,0.072,0.23380952380952383,0.05
cold_genie,0.0,10,10,50,42,8,0.631578947368421,0.292,0.192,0.24888611388611387,0.05
cold_genie,0.0,10,10,50,42,9,1.0625,0.41600000000000004,0.12,0.13936729936729936,0.05
cold_genie,0.0,10,10,50,42,10,0.8333333333333334,0.3,0.048,0.28232323232323236,0.05
cold_genie,0.0,10,10,50,42,11,1.3333333333333333,0.288,0.16799999999999998,0.18668831168831168,0.05
cold_genie,0.0,10,10,50,42,12,1.5454545454545454,0.492,0.16799999999999998,0.1341147741147741,0.05
cold_genie,0.0,10,10,50,42,13,0.8823529411764706,0.46799999999999997,0.096,0.1769119769119769,0.05
cold_genie,0.0,10,10,50,42,14,1.5,0.6040000000000001,0.048,0.11608391608391608,0.05
cold_genie,0.0,10,10,50,42,15,1.0714285714285714,0.43199999999999994,0.192,0.10538461538461538,0.05
cold_genie,0.0,10,10,50,42,16,0.8,0.44399999999999995,0.048,0.21038461538461534,0.05
cold_genie,0.0,10,10,50,42,17,0.8666666666666667,0.328,0.072,0.24787878787878787,0.05
cold_genie,0.0,10,10,50,42,18,0.8125,0.32399999999999995,0.072,0.23615384615384616,0.05
cold_genie,0.0,10,10,50,42,19,1.0,0.332,0.072,0.25959040959040963,0.05
cold_genie,0.0,10,10,50,42,20,1.2307692307692308,0.368,0.096,0.21585081585081584,0.05
cold_genie,0.0,10,10,50,42,21,1.3846153846153846,0.4640000000000001,0.072,0.17478354978354976,0.05
cold_genie,0.0,10,10,50,42,22,0.8333333333333334,0.472,0.16799999999999998,0.15757575757575756,0.05
cold_genie,0.0,10,10,50,42,23,1.5833333333333333,0.564,0.12,0.10285714285714284,0.05
cold_genie,0.0,10,10,50,42,24,0.7333333333333333,0.32399999999999995,0.048,0.28787878787878785,0.05
cold_genie,0.0,10,10,50,42,25,1.3846153846153846,0.64,0.072,0.1134004884004884,0.05
