method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
pnd,0,10,50,1234,0.49000000000000005,1.174947619047619,0.2376049019607843,3.415
dcf_self_excl,0,10,50,1234,0.4356000000000001,1.0504011904761905,0.17343065729681695,3.029
and,0,10,50,1234,0.019600000000000003,0.06513095238095237,0.9564335137085137,0.193
oracle,1,10,100,42,0.7607200000000001,1.0031964285714285,0.2362894943181483,9.622
pnd,1,10,100,42,0.7499600000000001,0.9903896825396825,0.19843863113738497,9.503
dcf_self_excl,1,10,100,42,0.6483199999999999,0.8605543650793652,0.09849332124549456,8.262
and,1,10,100,42,0.67976,0.9042130952380953,0.4366892705620453,8.684
oracle,0,10,100,42,0.5099600000000001,1.1723182539682542,0.25788371684733524,6.781
pnd,0,10,100,42,0.50464,1.141988888888889,0.2254717891521041,6.624
dcf_self_excl,0,10,100,42,0.45228,1.0160099206349205,0.14165436340357365,5.921
and,0,10,100,42,0.10668000000000001,0.27776071428571425,0.7917335276488218,1.611
oracle,1,10,100,123,0.76068,1.002745634920635,0.24045329672938306,9.631
pnd,1,10,100,123,0.7475200000000001,0.9875527777777778,0.20185857921519976,9.49
dcf_self_excl,1,10,100,123,0.64588,0.8587031746031747,0.09855462992744635,8.257
and,1,10,100,123,0.67564,0.8990150793650795,0.43781872660870663,8.647
oracle,0,10,100,123,0.50356,1.1321099206349208,0.2626436740537464,6.733
pnd,0,10,100,123,0.49163999999999997,1.0943484126984127,0.22990906422975577,6.517
dcf_self_excl,0,10,100,123,0.4485200000000001,0.9924928571428572,0.1397611276369331,5.945
and,0,10,100,123,0.10764000000000001,0.2669099206349207,0.7899728523908377,1.595
oracle,1,10,100,456,0.7576400000000001,1.0036285714285715,0.23859362849808283,9.651
pnd,1,10,100,456,0.7435200000000001,0.9873361111111112,0.20134903142550917,9.498
dcf_self_excl,1,10,100,456,0.64744,0.862927777777778,0.09821391544959582,8.304
and,1,10,100,456,0.67564,0.9027968253968255,0.439393057873039,8.691
oracle,0,10,100,456,0.5060800000000001,1.1098083333333333,0.26256722763372387,6.782
pnd,0,10,100,456,0.48848,1.0740619047619047,0.22897774139633564,6.578
dcf_self_excl,0,10,100,456,0.45104,0.9865214285714285,0.13961202052089036,6.016
and,0,10,100,456,0.106,0.2556785714285714,0.7936693824020837,1.562
oracle,1,10,100,789,0.7537600000000001,1.002247619047619,0.2430467521022469,9.624
pnd,1,10,100,789,0.7418800000000001,0.9897603174603176,0.20107182129337164,9.509
dcf_self_excl,1,10,100,789,0.6434,0.8622857142857144,0.09793440183644635,8.287
and,1,10,100,789,0.6715199999999999,0.9000051587301588,0.43541859990322357,8.656
oracle,0,10,100,789,0.4998,1.1289170634920633,0.2644225455846408,6.749
pnd,0,10,100,789,0.49432000000000004,1.0927269841269842,0.22835693873227042,6.612
dcf_self_excl,0,10,100,789,0.45100000000000007,0.9852436507936507,0.14134228055900083,5.991
and,0,10,100,789,0.10212,0.25574246031746034,0.796049218484474,1.565
oracle,1,10,100,1234,0.7602800000000001,1.0012623015873017,0.24405528704800047,9.593
