method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_fixed_high,homo,10,20,123,1000,0.924,0.928,0.857,1.099,0.14861666666666673,0.03368694321861979,3.268533333333342
ema_adaptive,homo,10,20,123,1000,0.919,0.928,0.85,1.126,0.1407666666666666,0.033518236916048466,1.1170000000000004
consec_L2,homo,10,20,123,1000,0.928,0.928,0.863,1.09,0.13695000000000002,0.033816979292949294,0.8966666666666672
consec_L4,homo,10,20,123,1000,0.919,0.928,0.853,1.15,0.1296333333333333,0.033861185433002254,0.14866666666666664
oracle,homo,10,20,456,1000,0.934,0.951,0.89,0.862,0.18896666666666695,0.0,0.0
mfg_no_excl,homo,10,20,456,1000,0.944,0.951,0.899,0.796,0.1823500000000002,0.0,0.0
self_excl_only,homo,10,20,456,1000,0.949,0.951,0.902,0.855,0.1774166666666668,0.0,0.0
ema_fixed_low,homo,10,20,456,1000,0.896,0.951,0.854,1.195,0.13990000000000002,0.03435151431109611,1.0832166666666665
ema_fixed_high,homo,10,20,456,1000,0.91,0.951,0.867,1.068,0.1385500000000001,0.03311808028575194,3.178300000000004
ema_adaptive,homo,10,20,456,1000,0.916,0.951,0.87,1.161,0.1277333333333333,0.033261890598027595,1.1275
consec_L2,homo,10,20,456,1000,0.913,0.951,0.868,1.13,0.1357999999999999,0.03441840465850502,0.9758333333333347
consec_L4,homo,10,20,456,1000,0.911,0.951,0.867,1.145,0.12876666666666664,0.03369288229780712,0.16499999999999998
oracle,homo,10,20,789,1000,0.939,0.944,0.886,0.866,0.16843333333333327,0.0,0.0
mfg_no_excl,homo,10,20,789,1000,0.957,0.944,0.907,0.814,0.1722666666666668,0.0,0.0
self_excl_only,homo,10,20,789,1000,0.943,0.944,0.891,0.854,0.16990000000000025,0.0,0.0
ema_fixed_low,homo,10,20,789,1000,0.899,0.944,0.851,1.261,0.1351166666666667,0.033612422949145425,1.1916333333333324
ema_fixed_high,homo,10,20,789,1000,0.924,0.944,0.874,1.055,0.13851666666666665,0.03322527966994618,3.1158166666666687
ema_adaptive,homo,10,20,789,1000,0.904,0.944,0.856,1.128,0.13445,0.033716214384505415,1.0713333333333335
consec_L2,homo,10,20,789,1000,0.925,0.944,0.872,1.103,0.13104999999999992,0.033871059527239115,0.9108333333333343
consec_L4,homo,10,20,789,1000,0.906,0.944,0.857,1.187,0.1274,0.03375601711985273,0.18099999999999986
oracle,homo,10,20,1234,1000,0.942,0.944,0.892,0.874,0.16850000000000004,0.0,0.0
mfg_no_excl,homo,10,20,1234,1000,0.924,0.944,0.875,0.938,0.18796666666666664,0.0,0.0
self_excl_only,homo,10,20,1234,1000,0.948,0.944,0.894,0.882,0.17040000000000013,0.0,0.0
ema_fixed_low,homo,10,20,1234,1000,0.916,0.944,0.866,1.106,0.1278999999999999,0.033417517496315205,1.0291000000000012
ema_fixed_high,homo,10,20,1234,1000,0.919,0.944,0.868,1.079,0.14386666666666664,0.03330158142008848,3.2189166666666695
ema_adaptive,homo,10,20,1234,1000,0.907,0.944,0.855,1.169,0.1372,0.03354081390907332,1.212666666666666
consec_L2,homo,10,20,1234,1000,0.933,0.944,0.883,1.119,0.13129999999999992,0.033961998619187694,0.913500000000001
consec_L4,homo,10,20,1234,1000,0.901,0.944,0.852,1.272,0.1320166666666667,0.03377763216671443,0.1583333333333333
oracle,homo,10,50,42,1000,2.667,2.633,1.054333333333331,2.457,0.2308323887241067,0.0,0.0
mfg_no_excl,homo,10,50,42,1000,2.664,2.633,1.0503333333333302,2.316,0.23246714655313713,0.0,0.0
self_excl_only,homo,10,50,42,1000,2.664,2.633,1.050666666666664,2.389,0.2302978040750096,0.0,0.0
