access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
basic,210,50,20,0.034,2.0,0.012266,0.01591,0.57681,0.95936,0.31718,0.58008,0.36355,0.51111
basic,210,50,20,0.034,5.0,0.001276,0.02355,0.66701,0.20225,0.45133,0.09499,0.4575,0.07358
basic,210,50,20,0.07,3.0,0.008102,0.01873,0.59961,0.78026,0.36334,0.44459,0.39701,0.37725
basic,210,50,20,0.145,5.0,0.002404,0.0219,0.64554,0.31217,0.43565,0.16902,0.44699,0.1334
basic,420,5,5,0.017,1.0,0.267393,0.0229,0.45221,1.80611,0.34916,1.78535,0.42126,1.92609
basic,420,5,5,0.017,3.0,0.157427,0.0271,0.6054,1.72374,0.52197,1.61961,0.57121,1.71869
basic,420,5,5,0.034,2.0,0.207572,0.0265,0.53188,1.74513,0.44,1.71303,0.50167,1.83474
basic,420,5,5,0.034,5.0,0.129239,0.0302,0.64807,1.63911,0.56941,1.54362,0.61142,1.62585
basic,420,5,5,0.07,3.0,0.185044,0.0269,0.55784,1.70859,0.47717,1.67608,0.53257,1.78858
basic,420,5,5,0.145,5.0,0.252357,0.02726,0.40157,1.63909,0.37017,1.7699,0.44034,1.90646
basic,420,5,10,0.017,1.0,0.248322,0.01516,0.46284,2.65913,0.30762,2.3703,0.36099,2.58325
basic,420,5,10,0.017,3.0,0.136741,0.01945,0.60929,2.43811,0.45454,1.93043,0.49092,2.04489
basic,420,5,10,0.034,2.0,0.199082,0.01713,0.52695,2.59565,0.36887,2.21717,0.41623,2.39235
basic,420,5,10,0.034,5.0,0.095011,0.02356,0.65641,2.1426,0.51715,1.63403,0.5442,1.69883
basic,420,5,10,0.07,3.0,0.156547,0.02035,0.57605,2.38116,0.42633,2.03685,0.4666,2.17236
basic,420,5,10,0.145,5.0,0.170358,0.01971,0.51596,2.29231,0.40721,2.10171,0.44997,2.2509
basic,420,5,20,0.017,1.0,0.209293,0.01039,0.52795,4.40009,0.23394,3.00636,0.26674,3.23515
basic,420,5,20,0.017,3.0,0.095724,0.01437,0.63347,3.43854,0.34775,1.88101,0.36682,1.94129
basic,420,5,20,0.034,2.0,0.182273,0.01134,0.52682,4.20497,0.2586,2.79726,0.28893,2.98645
basic,420,5,20,0.034,5.0,0.01947,0.02187,0.68185,1.06389,0.44214,0.50813,0.44673,0.49948
basic,420,5,20,0.07,3.0,0.14682,0.0118,0.58332,4.01626,0.29317,2.47525,0.3195,2.61102
basic,420,5,20,0.145,5.0,0.085192,0.01568,0.59004,2.9462,0.35977,1.73319,0.37712,1.77917
basic,420,20,5,0.017,1.0,0.057222,0.02635,0.4919,1.10314,0.39729,1.05865,0.45707,1.06853
basic,420,20,5,0.017,3.0,0.033107,0.02894,0.63007,1.01507,0.55055,0.94669,0.59093,0.9388
